Epochs: 2000
Generation size: 100
Crossover probability: 0.9
Crossover type: 2
Mutation probability: 0.05

Data format:
++++ before last solution
Epoch,curr_avg_fitness,curr_best_fitness
1050,-5.9184281861411625,-5.877263187843115
1060,-5.917951785479562,-5.872496616760765
1070,-5.9237900671945685,-5.872050068117189
1080,-5.93736723312033,-5.869901713989974
1090,-5.928805139553951,-5.869519075850588
1100,-5.943707646772988,-5.8690900538121475
1110,-5.94248151942551,-5.865843670965399
1120,-5.935549966722273,-5.864326287090613
1130,-5.930899884088172,-5.863960491669951
1140,-5.92656045955801,-5.8610476040703015
1150,-5.925004896218619,-5.860353815822152
1160,-5.92186933002176,-5.860353815822152
1170,-5.946857027455578,-5.857642390735835
1180,-5.9546564749534445,-5.857270055477169
1190,-5.9703368462419375,-5.855628079861733
1200,-5.984566003335458,-5.855628079861733
1210,-6.013886542762709,-5.855468418722364
1220,-5.940898489672667,-5.8538951982810135
1230,-5.924823355295537,-5.853495058524249
1240,-5.924648593535111,-5.850036583220843
1250,-5.912815894875827,-5.849639382654897
1260,-5.92744845247926,-5.847504148419494
1270,-5.921924860720472,-5.847504148419494
1280,-5.957749099019408,-5.847094059247549
1290,-5.909414250721029,-5.845100837389205
1300,-5.899204605040229,-5.844735404893468
1310,-5.899911252307139,-5.841737274221846
1320,-5.9003607608685105,-5.841737274221846
1330,-5.900711104671952,-5.841737274221846
1340,-5.944494264610168,-5.841737274221846
1350,-5.910216646834897,-5.8400155981116955
1360,-5.925393977585129,-5.838369624622479
1370,-5.927590358563383,-5.837127584402512
1380,-5.966379919690986,-5.8361012478613725
1390,-5.948635652784858,-5.83445844602984
1400,-5.942851368741036,-5.83414022895775
1410,-5.923448473273669,-5.833308424550593
1420,-5.91397563086448,-5.832035441956661
1430,-5.957651176419177,-5.832035441956661
1440,-5.942984847620256,-5.830845844908392
1450,-5.931773978749285,-5.830288591614663
1460,-5.900202548174577,-5.826718732660179
1470,-5.907176264227468,-5.826135383820151
1480,-5.925776580404899,-5.825759836263283
1490,-5.929919878135142,-5.823709366991721
1500,-5.924515799480811,-5.823697788138517
1510,-5.8930201383132905,-5.821068226634514
1520,-5.901617895326774,-5.819289690500713
1530,-5.9165360430053076,-5.81674705505338
1540,-5.889672990086379,-5.816035893039883
1550,-5.940975683282699,-5.815658180388949
1560,-5.966164860516597,-5.8141866354884595
1570,-5.946741476019657,-5.8141866354884595
1580,-5.951630757859654,-5.8141866354884595
1590,-6.00788098067172,-5.813488845045531
1600,-6.024790948171944,-5.813488845045531
1610,-6.055838780648803,-5.813488845045531
1620,-6.1141943868124216,-5.813488845045531
1630,-6.093755468785371,-5.813488845045531
1640,-6.1235002363568665,-5.813488845045531
1650,-6.096340515973648,-5.812472168336484
1660,-6.041220895121078,-5.812348890033867
1670,-5.967714116963166,-5.812348890033867
1680,-5.925258884766666,-5.812348890033867
1690,-5.996103006108058,-5.812348890033867
1700,-6.011404155665221,-5.812103185071269
1710,-6.04532655891337,-5.811553137461843
1720,-6.050386326784466,-5.811553137461843
1730,-6.03272069556075,-5.811553137461843
1740,-6.041491041931279,-5.811553137461843
1750,-5.997672411172507,-5.810970060044092
1760,-5.974663356857943,-5.810970060044092
1770,-5.9629215787993735,-5.8097252834295325
1780,-5.963001717488594,-5.8097252834295325
1790,-5.998420778319027,-5.808915622946965
1800,-6.04957085546312,-5.807876181622964
1810,-5.975635733932272,-5.806849528881722
1820,-5.9734083498086825,-5.806451200092201
1830,-6.024730104173203,-5.805615270834861
1840,-6.032259140547275,-5.805532444086295
1850,-6.028856146217247,-5.805532444086295
1860,-5.991096476981987,-5.805131831233381
1870,-6.024339023498894,-5.805131831233381
1880,-6.011903556631557,-5.805131831233381
1890,-5.9974889994265395,-5.803738844080936
1900,-5.999325508426751,-5.80332016153402
1910,-5.990233044402816,-5.802949666025559
1920,-5.980211368825642,-5.8025972121915865
1930,-6.021834859264764,-5.802067040960189
1940,-6.103311942440587,-5.800703892287524
1950,-6.138019549776754,-5.798302917703808
1960,-6.066248168841618,-5.798090126575804
1970,-6.1012372780916,-5.797319704317689
1980,-6.1422204130387295,-5.796193498794549
1990,-6.05713156043937,-5.7961288806999836
++++
-5.7961288806999836
[-1.32990068e+00  1.65432294e+00 -1.66934910e+00  1.59865586e+00
 -1.42327500e+00  1.46409077e+00 -1.47707797e+00  1.52783442e+00
  1.71223857e+00 -1.45222607e+00  1.52686508e+00 -1.40283962e+00
  1.20640487e+00 -1.95728617e+00  1.40447673e+00 -1.61290495e+00
  7.60117707e-01 -7.57901775e-01 -8.41320491e-01  6.92136847e-01
 -9.34859263e-04  2.00800995e+00  3.59536830e+00 -4.63334427e-01
 -3.28807869e+00 -2.00664042e+00 -3.19802804e+00 -2.94758871e+00
 -4.57611363e-01  3.90995398e+00  2.05565347e+00 -7.20672360e-01
 -1.29216625e-01  1.81188047e-01 -1.39100987e-01]
