Epochs: 1000
Generation size: 100
Crossover probability: 0.9
Crossover type: 2
Mutation probability: 0.05

Data format:
++++ before last solution
Epoch,curr_avg_fitness,curr_best_fitness

0,-6.437813500606629,-6.429893020910666
10,-6.438295318009827,-6.416724351606526
20,-6.437894790738157,-6.405999913742393
30,-6.436427076070345,-6.402243815212095
40,-6.423801620550599,-6.3826053778972245
50,-6.41776057199923,-6.370604980457312
60,-6.41560393733449,-6.345053243834939
70,-6.412506277282827,-6.329159522615471
80,-6.410171141137646,-6.317711535547169
90,-6.394782816115366,-6.2999299539893485
100,-6.365581073206122,-6.281181654425748
110,-6.360350417831868,-6.264794456297675
120,-6.359736223741307,-6.262133048131912
130,-6.344310628516351,-6.2340893021004105
140,-6.3362867102338365,-6.212819503645088
150,-6.318810801895204,-6.194311809701313
160,-6.304884748510745,-6.181198882549839
170,-6.28660355970039,-6.1662103835182
180,-6.269410167255528,-6.148233797035595
190,-6.250223758955275,-6.13907900894925
200,-6.238314562251191,-6.124197244647794
210,-6.221094203207911,-6.1075148051393455
220,-6.208358492698125,-6.078006037988951
230,-6.178458948024713,-6.074561204795232
240,-6.165273814899614,-6.064329683129275
250,-6.173755289463669,-6.056229903318883
260,-6.160362007302599,-6.049104606847721
270,-6.137212386222253,-6.038171640119611
280,-6.108075619440525,-6.038171640119611
290,-6.093621668337246,-6.036741940924976
300,-6.073387789371232,-6.023985509147439
310,-6.070739565410589,-6.015896460332087
320,-6.045857914868351,-6.008868529852156
330,-6.055054633312238,-6.004976878699314
340,-6.0389461722868445,-5.996126975955159
350,-6.038580416247566,-5.990485591319556
360,-6.035764075515698,-5.985271117282213
370,-6.028618323182575,-5.980961107807479
380,-6.02633449715622,-5.979859196023696
390,-6.025944568022255,-5.978722920333498
400,-6.035894708104625,-5.977866138668558
410,-6.0347031700521,-5.9753604464587475
420,-6.045254251457731,-5.9753604464587475
430,-6.063298573853216,-5.9753604464587475
440,-6.0660557442052285,-5.974631490864203
450,-6.0608283076233,-5.969619935093795
460,-6.062872267113521,-5.969004259171404
470,-6.059005209186222,-5.965922963279371
480,-6.072164698545253,-5.962434668945901
490,-6.072416202258222,-5.959816367273697
500,-6.073628843648358,-5.956119210408982
510,-6.0855940888733935,-5.955621144793147
520,-6.084407016154239,-5.955075342771976
530,-6.103328263631014,-5.954258481571028
540,-6.105873353665146,-5.952914261742642
550,-6.1105857055395845,-5.947264092324299
560,-6.079579947755651,-5.942037474549755
570,-6.060610561002318,-5.942037474549755
580,-6.056960647718334,-5.936930445862733
590,-6.0384438035846735,-5.936930445862733
600,-6.015404062188611,-5.936889575772506
610,-6.024892675066507,-5.93556400433235
620,-6.011159408472824,-5.9346953702103145
630,-6.002278057381399,-5.932650225548388
640,-6.00974054150192,-5.932650225548388
650,-6.061058098252683,-5.9320662910531485
660,-6.071297516337712,-5.9245939700680985
670,-6.0928077308829245,-5.924368781507264
680,-6.107349791406279,-5.918706575022927
690,-6.093494271212206,-5.917746502671395
700,-6.059824211896974,-5.917746502671395
710,-6.064891290893623,-5.917746502671395
720,-6.073092898821048,-5.915027965215822
730,-6.069679581493952,-5.912055662500713
740,-6.03794044252998,-5.912055662500713
750,-6.036279863172472,-5.9107098816156824
760,-6.034738891168415,-5.909984148669265
770,-6.013415160591178,-5.907818528276374
780,-6.027910354317048,-5.907493070052819
790,-6.03808017570512,-5.9026925739774025
800,-6.03257982346625,-5.90057087143436
810,-5.995421112416028,-5.90057087143436
820,-5.9891227664295865,-5.899749188538563
830,-6.044740259632731,-5.8983891678303975
840,-6.055527667464288,-5.897395430872361
850,-6.007077505507252,-5.895314419784139
860,-5.995492326081218,-5.894274569099098
870,-5.987313968524113,-5.8937269761027595
880,-5.992889937673477,-5.893418976138328
890,-5.968824129414133,-5.890989402404896
900,-5.979982449156534,-5.890754956568887
910,-6.0049806159116725,-5.890754956568887
920,-5.97434762042888,-5.88770553413733
930,-5.952909361341744,-5.883892761501532
940,-5.983051454576258,-5.883049215562081
950,-6.000796511206399,-5.88119307425223
960,-5.991878777489159,-5.881014698093968
970,-5.9541239330037525,-5.880764556558316
980,-5.964804121549202,-5.877160565223309
990,-5.951286052950486,-5.87595123053968
++++
-5.87128689212299
[-1.31926878 -0.83309571  1.25210275  1.18737278 -1.36630484 -0.74214273
  1.4275051   1.25987572  1.21096617  0.94494753 -0.964279   -1.33439739
  1.37725066  1.23269794 -1.17177473 -1.27778489 -0.2562661  -0.38472821
  0.58116367 -0.18494588 -2.63998186 -0.80664299  2.10478426  0.22692108
  1.3387576   1.31981116  2.33654091  1.44281447  0.82661819  0.41773624
 -0.39373635 -1.56835901 -0.49147354 -0.67880918  0.80306415]
